Item,Sentence,consonant,type
1,Click on the waffle,w,approximant
2,Click on the fox,f,fricative
3,Click on the screwdriver,s,fricative
4,Click on the lion,l,approximant
5,Click on the lemon,l,approximant
6,Click on the shoe,s,fricative
7,Click on the strawberry,s,fricative
8,Click on the leaf,l,approximant
9,Click on the raspberry,r,approximant
10,Click on the watermelon,w,approximant
11,Click on the fork,f,fricative
12,Click on the ruler,r,approximant
13,Click on the wand,w,approximant
14,Click on the scissors,s,fricative
15,Click on the lamp,l,approximant
16,Click on the lobster,l,approximant
17,Click on the submarine,s,fricative
18,Click on the rope,r,approximant
19,Click on the flamingo,f,fricative
20,Click on the window,w,approximant
21,Click on the spoon,s,fricative
22,Click on the squirrel,s,fricative
23,Click on the lollipop,l,approximant
24,Click on the flag,f,fricative
25,Click on the ring,r,approximant
26,Click on the sheep,sh,fricative
27,Click on the shower,sh,fricative
28,Click on the scorpion,s,fricative
29,Click on the fish,f,fricative
30,Click on the skirt,s,fricative
31,Click on the razor,r,approximant
32,Click on the rabbit,r,approximant
33,Click on the laptop,l,approximant
34,Click on the skeleton,s,fricative
35,Click on the lipstick,l,approximant
36,Click on the sock,s,fricative
37,Click on the walnut,w,approximant
38,Click on the watch,w,approximant
39,Click on the ship,s,fricative
40,Click on the sausage,s,fricative
41,Click on the fountain,f,fricative
42,Click on the frog,f,fricative
43,Click on the ski,s,fricative
44,Click on the remote,r,approximant
45,Click on the scarecrow,s,fricative
46,Click on the ladder,l,approximant
47,Click on the saxophone,s,fricative
48,Click on the radio,r,approximant
49,Click on the lock,l,approximant
50,Click on the shield,sh,fricative
51,Click on the sled,s,fricative
52,Click on the shark,sh,fricative
53,Click on the rocket,r,approximant
54,Click on the skateboard,s,fricative
55,Click on the stairs,s,fricative
56,Click on the shirt,sh,fricative
57,Click on the scarf,s,fricative
58,Click on the sun,s,fricative
59,Click on the robot,r,approximant
60,Click on the flower,f,fricative
61,Click on the skunk,s,fricative
62,Click on the snail,s,fricative
63,Click on the salad,s,fricative
64,Click on the letter,l,approximant
