fileID,f1,f2,f3,f1b,f2b,f3b,f1e,f2e,f3e
10_V1,537.93,1070.76,2677.53, 541.45,541.45,541.45, 519.93,519.93,519.93 
10_V2,398.16,1446.84,2880.15, 383.85,383.85,383.85, 674.98,674.98,674.98 
11_V1,436.71,1757.24,2759.53, 525.70,525.70,525.70, 498.26,498.26,498.26 
11_V2,362.73,1177.78,2851.47, 371.34,371.34,371.34, 409.97,409.97,409.97 
12_V1,482.22,1372.17,2927.04, 442.12,442.12,442.12, 530.40,530.40,530.40 
12_V2,472.69,1588.06,2810.21, 430.74,430.74,430.74, 448.13,448.13,448.13 
13_V1,331.59,1268.60,2863.05, 623.53,623.53,623.53, 500.59,500.59,500.59 
13_V2,482.45,1020.32,2738.89, 501.36,501.36,501.36, 466.76,466.76,466.76 
14_V1,392.47,1469.92,2799.79, 583.76,583.76,583.76, 450.29,450.29,450.29 
14_V2,428.39,1471.57,2864.22, 546.11,546.11,546.11, 496.04,496.04,496.04 
15_V1,463.88,1179.48,3011.67, 507.43,507.43,507.43, 488.48,488.48,488.48 
15_V2,526.46,1315.07,2907.88, 679.47,679.47,679.47, 510.47,510.47,510.47 
16_V1,539.51,1206.56,2960.22, 419.05,419.05,419.05, 653.98,653.98,653.98 
16_V2,588.27,1138.93,3007.82, 412.17,412.17,412.17, 842.81,842.81,842.81 
17_V1,569.01,1780.59,2854.70, 649.45,649.45,649.45, 428.42,428.42,428.42 
17_V2,616.75,1684.73,2866.95, 729.82,729.82,729.82, 491.57,491.57,491.57 
18_V1,497.49,1376.34,2278.85, 505.60,505.60,505.60, 468.63,468.63,468.63 
18_V2,434.02,1400.65,2892.17, 701.39,701.39,701.39, 474.22,474.22,474.22 
19_V1,495.45,1407.28,2927.25, 777.01,777.01,777.01, 497.99,497.99,497.99 
19_V2,529.69,1386.14,2793.56, 500.20,500.20,500.20, 510.62,510.62,510.62 
1_V1,404.01,1456.87,2946.10, 504.23,504.23,504.23, 426.62,426.62,426.62 
1_V2,544.13,1203.94,2790.88, 1237.54,1237.54,1237.54, 444.24,444.24,444.24 
20_V1,495.04,1169.46,2640.23, 490.36,490.36,490.36, 482.22,482.22,482.22 
20_V2,513.83,1089.50,2648.93, 531.43,531.43,531.43, 497.75,497.75,497.75 
21_V1,388.88,1624.43,3190.75, 449.24,449.24,449.24, 718.49,718.49,718.49 
21_V2,445.51,1395.43,2849.37, 464.14,464.14,464.14, 379.46,379.46,379.46 
22_V1,649.87,1659.35,2790.96, 689.74,689.74,689.74, 612.14,612.14,612.14 
22_V2,493.08,1194.79,3171.20, 459.93,459.93,459.93, 754.87,754.87,754.87 
23_V1,657.83,1124.66,2998.34, 627.03,627.03,627.03, 606.79,606.79,606.79 
23_V2,595.85,1132.05,2973.95, 616.01,616.01,616.01, 515.73,515.73,515.73 
24_V1,557.68,1234.85,2873.40, 521.30,521.30,521.30, 536.36,536.36,536.36 
24_V2,427.05,1363.77,2994.55, 459.82,459.82,459.82, 419.35,419.35,419.35 
25_V1,433.40,1345.30,2801.85, 435.86,435.86,435.86, 449.69,449.69,449.69 
25_V2,511.30,1396.20,2262.40, 536.62,536.62,536.62, 441.26,441.26,441.26 
26_V1,522.50,1677.71,2753.01, 535.18,535.18,535.18, 464.97,464.97,464.97 
26_V2,504.69,1877.18,2763.89, 553.62,553.62,553.62, 431.34,431.34,431.34 
27_V1,527.25,1449.49,2845.77, 511.13,511.13,511.13, 426.56,426.56,426.56 
27_V2,579.11,1858.69,2894.56, 628.02,628.02,628.02, 475.30,475.30,475.30 
28_V1,447.18,1278.99,3050.18, 431.47,431.47,431.47, 531.90,531.90,531.90 
28_V2,475.07,1533.97,2792.98, 576.31,576.31,576.31, 293.52,293.52,293.52 
29_V1,411.23,1529.23,2698.47, 620.12,620.12,620.12, 453.35,453.35,453.35 
29_V2,390.71,1440.48,2784.50, 506.41,506.41,506.41, 368.78,368.78,368.78 
2_V1,528.52,1238.04,2783.22, 479.44,479.44,479.44, 479.27,479.27,479.27 
2_V2,568.19,1596.85,2876.80, 571.10,571.10,571.10, 466.58,466.58,466.58 
30_V1,346.17,1366.16,2929.17, 666.72,666.72,666.72, 185.82,185.82,185.82 
30_V2,389.51,1499.09,2820.61, 551.11,551.11,551.11, 294.15,294.15,294.15 
31_V1,390.96,1331.00,2439.27, 408.14,408.14,408.14, 461.04,461.04,461.04 
31_V2,498.20,1809.32,2825.36, 564.86,564.86,564.86, 448.84,448.84,448.84 
32_V1,531.82,1362.63,2046.61, 535.21,535.21,535.21, 490.07,490.07,490.07 
32_V2,541.09,1331.56,1694.47, 569.83,569.83,569.83, 493.07,493.07,493.07 
33_V1,587.07,1067.63,3225.63, 615.61,615.61,615.61, 550.75,550.75,550.75 
33_V2,574.77,1096.69,3033.46, 577.58,577.58,577.58, 670.33,670.33,670.33 
34_V1,467.10,1307.74,2836.28, 460.04,460.04,460.04, 588.93,588.93,588.93 
34_V2,529.42,1367.05,2761.75, 507.97,507.97,507.97, 499.13,499.13,499.13 
35_V1,549.18,1280.73,2995.99, 540.48,540.48,540.48, 497.09,497.09,497.09 
35_V2,563.53,1138.49,3101.02, 559.61,559.61,559.61, 497.81,497.81,497.81 
36_V1,480.23,1239.54,2853.41, 464.30,464.30,464.30, 299.60,299.60,299.60 
36_V2,440.86,1287.27,3017.96, 543.25,543.25,543.25, 475.80,475.80,475.80 
37_V1,593.67,1780.84,2945.67, 612.72,612.72,612.72, 406.99,406.99,406.99 
37_V2,502.54,1082.63,2722.31, 485.12,485.12,485.12, 483.85,483.85,483.85 
38_V1,353.80,1392.42,2848.41, 383.03,383.03,383.03, 434.01,434.01,434.01 
38_V2,501.01,960.42,2625.85, 510.90,510.90,510.90, 445.43,445.43,445.43 
39_V1,413.30,1479.19,2940.34, 423.68,423.68,423.68, 363.02,363.02,363.02 
39_V2,560.61,1887.54,2764.74, 595.97,595.97,595.97, 377.31,377.31,377.31 
3_V1,463.76,1662.26,2776.42, 450.77,450.77,450.77, 345.68,345.68,345.68 
3_V2,489.31,1963.56,2917.93, 562.65,562.65,562.65, 331.76,331.76,331.76 
