fileID,f1,f2,f3,f1b,f2b,f3b,f1e,f2e,f3e
40_V1,492.00,1405.25,2813.23, 653.10,653.10,653.10, 509.10,509.10,509.10 
40_V2,647.73,1682.12,2702.59, 653.70,653.70,653.70, 500.08,500.08,500.08 
41_V1,524.34,1297.59,2699.76, 530.86,530.86,530.86, 297.00,297.00,297.00 
41_V2,528.37,1291.89,2644.40, 522.93,522.93,522.93, 908.39,908.39,908.39 
42_V1,365.58,1138.67,2901.14, 398.60,398.60,398.60, 413.73,413.73,413.73 
42_V2,506.61,1592.04,2811.13, 656.55,656.55,656.55, 399.58,399.58,399.58 
43_V1,388.47,1427.23,3249.71, 431.49,431.49,431.49, 410.85,410.85,410.85 
43_V2,405.98,1423.33,2771.31, 567.86,567.86,567.86, 438.70,438.70,438.70 
44_V1,530.93,1396.36,2273.82, 534.56,534.56,534.56, 504.68,504.68,504.68 
44_V2,427.22,1381.42,2746.01, 464.47,464.47,464.47, 499.23,499.23,499.23 
45_V1,450.78,1251.27,2812.54, 461.74,461.74,461.74, 981.25,981.25,981.25 
45_V2,433.05,1257.33,2790.83, 403.41,403.41,403.41, 452.64,452.64,452.64 
46_V1,422.19,1281.26,3139.65, 426.93,426.93,426.93, 509.88,509.88,509.88 
46_V2,480.18,1174.74,2979.56, 386.41,386.41,386.41, 549.59,549.59,549.59 
47_V1,483.08,1265.89,2772.25, 436.63,436.63,436.63, 454.49,454.49,454.49 
47_V2,482.12,1400.71,2773.61, 486.41,486.41,486.41, 305.16,305.16,305.16 
48_V1,499.62,1414.20,2060.81, 498.61,498.61,498.61, 461.26,461.26,461.26 
48_V2,464.44,1635.89,2778.14, 560.73,560.73,560.73, 479.67,479.67,479.67 
49_V1,568.14,1117.58,3083.69, 608.82,608.82,608.82, 543.04,543.04,543.04 
49_V2,562.32,1130.86,2932.39, 573.32,573.32,573.32, 526.46,526.46,526.46 
4_V1,591.32,1021.51,3033.10, 603.86,603.86,603.86, 549.30,549.30,549.30 
4_V2,568.22,1041.12,3012.93, 581.96,581.96,581.96, 532.78,532.78,532.78 
50_V1,405.13,1627.80,2929.07, 394.28,394.28,394.28, 161.07,161.07,161.07 
50_V2,379.50,1533.13,2903.02, 397.59,397.59,397.59, 253.25,253.25,253.25 
51_V1,482.06,1193.49,2962.07, 412.85,412.85,412.85, 371.40,371.40,371.40 
51_V2,488.79,1284.66,2942.57, 490.76,490.76,490.76, 450.73,450.73,450.73 
52_V1,405.30,1435.22,2832.81, 413.24,413.24,413.24, 368.26,368.26,368.26 
52_V2,409.07,1509.54,2839.18, 429.96,429.96,429.96, 342.09,342.09,342.09 
53_V1,386.30,1283.24,2703.75, 540.61,540.61,540.61, 505.24,505.24,505.24 
53_V2,530.57,1301.55,1944.99, 551.63,551.63,551.63, 493.95,493.95,493.95 
54_V1,388.50,1270.87,2675.88, 408.29,408.29,408.29, 358.94,358.94,358.94 
54_V2,477.10,1351.16,2805.91, 466.87,466.87,466.87, 453.32,453.32,453.32 
55_V1,369.38,1340.27,2808.24, 379.85,379.85,379.85, 352.64,352.64,352.64 
55_V2,470.59,1394.43,2855.69, 478.93,478.93,478.93, 398.58,398.58,398.58 
56_V1,380.90,1325.03,2853.41, 393.09,393.09,393.09, 374.83,374.83,374.83 
56_V2,425.94,1491.70,2792.08, 416.74,416.74,416.74, 388.78,388.78,388.78 
57_V1,382.84,1502.84,2745.35, 429.62,429.62,429.62, 341.86,341.86,341.86 
57_V2,459.00,1294.38,2837.68, 692.98,692.98,692.98, 409.90,409.90,409.90 
58_V1,451.18,1269.77,2932.64, 456.33,456.33,456.33, 694.46,694.46,694.46 
58_V2,451.91,1285.63,2878.33, 441.93,441.93,441.93, 370.25,370.25,370.25 
59_V1,403.34,1412.22,2696.58, 476.93,476.93,476.93, 483.43,483.43,483.43 
59_V2,491.06,1389.35,2125.95, 515.08,515.08,515.08, 375.00,375.00,375.00 
5_V1,363.39,1148.64,2751.99, 323.36,323.36,323.36, 490.39,490.39,490.39 
5_V2,296.17,1219.37,2487.43, 293.10,293.10,293.10, 368.23,368.23,368.23 
60_V1,448.44,1204.84,2980.79, 430.35,430.35,430.35, 508.62,508.62,508.62 
60_V2,545.48,1297.39,2841.03, 472.33,472.33,472.33, 501.97,501.97,501.97 
61_V1,385.96,1396.44,2783.65, 369.75,369.75,369.75, 363.84,363.84,363.84 
61_V2,509.62,1296.70,2850.69, 360.83,360.83,360.83, 550.12,550.12,550.12 
62_V1,415.49,1378.93,2868.47, 408.48,408.48,408.48, 311.22,311.22,311.22 
62_V2,357.10,1352.95,2776.33, 377.74,377.74,377.74, 383.80,383.80,383.80 
63_V1,377.42,1354.29,2843.01, 368.16,368.16,368.16, 430.96,430.96,430.96 
63_V2,523.64,1369.55,2869.08, 510.45,510.45,510.45, 964.96,964.96,964.96 
64_V1,395.40,1263.78,2899.58, 316.54,316.54,316.54, 502.95,502.95,502.95 
64_V2,491.86,1457.49,2847.98, 1203.53,1203.53,1203.53, 524.07,524.07,524.07 
6_V1,436.74,1520.48,2924.40, 425.40,425.40,425.40, 619.81,619.81,619.81 
6_V2,463.71,1486.57,2875.69, 481.88,481.88,481.88, 316.06,316.06,316.06 
7_V1,516.38,1494.75,2837.32, 577.33,577.33,577.33, 384.76,384.76,384.76 
7_V2,510.82,1276.21,2928.83, 468.97,468.97,468.97, 441.51,441.51,441.51 
8_V1,565.24,1132.31,2988.76, 572.50,572.50,572.50, 533.15,533.15,533.15 
8_V2,626.20,1301.51,3219.95, 380.35,380.35,380.35, 557.88,557.88,557.88 
9_V1,535.40,1427.68,2168.95, 552.81,552.81,552.81, 496.36,496.36,496.36 
9_V2,559.93,1388.04,2063.33, 567.13,567.13,567.13, 527.51,527.51,527.51 
