"","fileID","type","consonant","sentence","f1","f2","f3","duration","f1b","f2b","f3b","f1e","f2e","f3e"
"31","16_V1","approximant","l","Click on the lobster",659.74,1167.97,2963.71,0.0414358865336136,654.87,1212.08,2969.25,642.5,1103.14,2978.97
"32","16_V2","approximant","l","Click on the lobster",642.77,1111.95,2991.95,0.0435612853589508,653.5,1168.95,2973.88,605.22,1065.22,2999.12
"33","17_V1","fricative","s","Click on the submarine",475.5,1377.33,2930.71,0.0412807009050478,478.78,1365.5,2932.72,465.11,1409.56,2939.89
"34","17_V2","fricative","s","Click on the submarine",522.21,1389.46,2881.91,0.0524712241370512,506.2,1346.83,2919,498.92,1381.49,2890.39
"35","18_V1","approximant","r","Click on the rope",353.57,1119.96,1572.37,0.127631808957317,358.5,1172.73,1750.7,426.71,1296.98,1713.75
"36","18_V2","approximant","r","Click on the rope",529.22,1357.46,2059,0.0525287507069203,555.68,1388.18,2310.94,478.43,1246.83,1717.89
"37","19_V1","fricative","f","Click on the flamingo",574.32,1361.28,2845.71,0.0546847383876491,579.15,1368.31,2913.15,545.01,1334.23,2783.25
"38","19_V2","fricative","f","Click on the flamingo",1515.25,2487.41,3562.12,0.107770241891271,1517.11,2766.09,3767.8,1345.01,2522.29,2692.07
"39","20_V1","approximant","w","Click on the window",412.86,765.98,3032.4,0.106693036090696,401.07,625.54,2331.96,477.21,1165.29,2523.1
"40","20_V2","approximant","w","Click on the window",458.69,902.31,2627.87,0.0856876178413621,457.11,733.46,2409.87,533.8,1176.75,2468.67
"41","21_V1","fricative","s","Click on the spoon",1303.83,2879.03,3789.1,0.1273826296762,1036.8,3028.09,3875.17,1200.19,2940.04,3465.74
"42","21_V2","fricative","s","Click on the spoon",983.56,2857.15,3858.14,0.171326188815718,1068.2,2907.97,3955.16,1097.79,2630.71,3366.08
"43","22_V1","fricative","s","Click on the squirrel",462,1326.06,3042.88,0.0473950860233767,441.22,1313.04,3009.95,465.38,1327.28,3093.42
"44","22_V2","fricative","s","Click on the squirrel",1644.56,2944.37,3689.22,0.0982660293692403,1885.25,3055.38,3783.68,1431.92,3106.7,3409.52
"45","23_V1","approximant","l","Click on the lollipop",467.87,812.39,2948.35,0.0586336958983608,509.39,864.68,2982.19,520.91,780.34,2943.07
"46","23_V2","approximant","l","Click on the lollipop",348.44,883.08,3256.41,0.0812557964268091,350.45,873.89,3253.17,361.53,911.39,3222.79
"47","24_V1","fricative","f","Click on the flag",1232.1,1817.47,2965.4,0.134058459783139,1112.37,1819.33,2775.82,1088.58,2666.18,3587.35
"48","24_V2","fricative","f","Click on the flag",541.22,1227.8,2909.32,0.0363801750430804,526.42,1229.59,2930.43,535.03,1213.39,2875.25
"49","25_V1","approximant","r","Click on the ring",524.94,1438.7,2219.09,0.0498728073613293,515.07,1433.43,2496.53,544.89,1511.99,1934.52
"50","25_V2","approximant","r","Click on the ring",376.1,1371.41,1525.56,0.125320570558915,360.03,1136,1454.97,384.52,1664.84,1914.14
"51","26_V1","fricative","sh","Click on the sheep",411.55,1600.66,2861.75,0.0576604366951846,416.99,1485.47,2835.97,276.31,1718.22,2836.54
"52","26_V2","fricative","sh","Click on the sheep",421.16,1647.01,2844.49,0.0476968711278359,360.06,1587.53,2859.14,404.26,1700.47,2824.79
"53","27_V1","fricative","sh","Click on the shower",1785.96,2648.65,3177.05,0.14,1576.35,2631.24,3422.09,1727.15,2525.13,3024.61
"54","27_V2","fricative","sh","Click on the shower",518.7,1506.23,2906.68,0.0500785465454974,522.66,1453.37,2927.26,480.74,1557.92,2939.6
"55","28_V1","fricative","s","Click on the scorpion",1312.02,2994.1,3604.23,0.0912162340746517,905,2905.16,3571.74,1429.36,2730.37,3445.05
"56","28_V2","fricative","s","Click on the scorpion",460.74,1146.37,2900.04,0.0376260714486653,433.09,1275.01,2895.11,829.69,2825.98,3661.35
"57","29_V1","fricative","f","Click on the fish",502.24,1404.26,2711.28,0.0495036171819084,509.56,1422.73,2768.91,461.88,1465.64,2742
"58","29_V2","fricative","f","Click on the fish",516.17,1447.82,2761.26,0.0473978204945627,502.82,1423.88,2810.5,482.48,1437.6,2736.3
"59","30_V1","fricative","s","Click on the skirt",445.52,1378.1,2835.32,0.037044653126059,450.02,1375.29,2861.65,420.04,1404.36,2838.07
"60","30_V2","fricative","s","Click on the skirt",477.41,1374.92,2868.45,0.0460942155183581,471.02,1356.67,2882.97,407.38,1372.12,2890.37
"61","31_V1","approximant","r","Click on the razor",535.15,1511.21,2282.58,0.0517877605921476,547.1,1499.95,2523.54,500.89,1463.74,2037.11
"62","31_V2","approximant","r","Click on the razor",519.63,1489.14,2172.65,0.0623252667939548,532.75,1508.14,2406.84,487.56,1436.96,1907.11
"63","32_V1","approximant","r","Click on the rabbit",360.78,1027.34,1617.78,0.125794805232189,382.57,1016.78,1498.58,485.92,1363.95,1839.48
"64","32_V2","approximant","r","Click on the rabbit",443.91,1178.68,1559.58,0.0925473530790293,417.04,1098.48,1346.43,516.25,1394.28,1805.49
"65","33_V1","approximant","l","Click on the laptop",446.64,824.28,3373.6,0.098784956605593,444.31,768.3,3029.22,537.52,1039.46,3070.25
"66","33_V2","approximant","l","Click on the laptop",457.06,859.48,2917.74,0.102771825103465,473.74,814.52,3108.01,583.01,1082.4,2847.84
"67","34_V1","fricative","s","Click on the skeleton",1403.9,2892.92,3920.55,0.11,1265.81,3035.01,3923.77,1583.6,2978.96,3959.61
"68","34_V2","fricative","s","Click on the skeleton",1404.21,2892.18,3899.89,0.1,1299.53,2814.81,3941.55,1624.97,2881.82,3903.54
"69","35_V1","approximant","l","Click on the lipstick",353.59,1025.19,2985.7,0.0772898809188912,375.8,1019.1,3035.72,368.36,1144.2,2866.09
"70","35_V2","approximant","l","Click on the lipstick",454.71,668.33,3109.89,0.0713286707063878,376.54,804.66,3153.77,637.04,3342.26,4469.94
"71","36_V1","fricative","s","Click on the sock",1481.91,3073.06,4134.51,0.154058459783139,1239.93,2919.21,3913.26,1256.77,2873.54,4007.72
"72","36_V2","fricative","s","Click on the sock",519.65,1305.8,2829.42,0.0617964617170133,531.89,1307.92,2841.96,464.54,1325.64,2835.77
"73","37_V1","approximant","w","Click on the walnut",488.5,1057.09,2688.39,0.0386227885731333,499.45,1103.08,2759.99,467.48,1006,2635.18
"74","37_V2","approximant","w","Click on the walnut",364.84,704.01,2969.96,0.11,407.78,788.69,2659.55,412.54,719.74,3000.98
"75","38_V1","approximant","w","Click on the watch",473.13,964.8,2598.83,0.0338883822319104,483.06,1025.7,2651.22,433.13,882.76,2566.25
"76","38_V2","approximant","w","Click on the watch",388.45,659.11,2623.69,0.0938741464065662,376.36,686.64,2670.53,473.05,753.84,2552.69
"77","39_V1","fricative","s","Click on the ship",1891.46,2673.94,3316.84,0.18,2060.81,2667.5,3446.38,1915.9,2694.75,3321.59
"78","39_V2","fricative","s","Click on the ship",433.47,1563.52,2889.89,0.0319780077433469,458.01,1547.2,2911.01,359.11,1682.18,2925.2
"79","40_V1","fricative","s","Click on the sausage",507.79,1263.95,2972.16,0.0496938567736609,513.25,1245.27,2909.77,409.93,1287.78,2869.03
"80","40_V2","fricative","s","Click on the sausage",506.9,1263.32,2879.42,0.04115334391425,489.43,1259.62,2832.15,476.23,1311.04,2834.89
"81","41_V1","fricative","f","Click on the fountain",1295.17,2413.15,3550.32,0.10059941591246,1102.18,2278.84,2861.23,1478.5,2658.96,3907.08
"82","41_V2","fricative","f","Click on the fountain",1390.73,2411.91,3074.4,0.127967410689168,1166.12,2320.41,3249.9,1234.1,2564.68,3208.9
"83","42_V1","fricative","f","Click on the frog",526.75,1313.41,2632.61,0.0445200315595687,530.29,1303.4,2742.38,553.71,1387.78,2592.66
"84","42_V2","fricative","f","Click on the frog",529.22,1348.26,2608.87,0.0515801111912167,531.07,1346.81,2716.41,587.02,1609.65,2799.89
"85","43_V1","fricative","s","Click on the ski",427.71,1420.65,2860.81,0.0544872028042482,430.35,1381.63,2992.74,394.77,1484.7,2858.39
"86","43_V2","fricative","s","Click on the ski",453.15,1436.61,2787.77,0.0479670116150204,460.27,1402.31,2807.68,430.69,1476.29,2854.36
"87","44_V1","approximant","r","Click on the remote",421.7,1203.45,1555.75,0.0939136839974166,454.77,1178.13,1592.36,423.42,1150.2,1487.56
"88","44_V2","approximant","r","Click on the remote",531.32,1362.7,2146.24,0.0709355098178675,548.39,1453.78,2501.53,456.25,1225.87,1793.13
"89","45_V1","fricative","s","Click on the scarecrow",1203.63,2727.78,3735.1,0.0981134473991617,1222.88,2740.18,3910.92,1578.76,2320.81,3694.82
"90","45_V2","fricative","s","Click on the scarecrow",973.06,2614.03,3842.93,0.10783767888008,1376.4,3042,4000.81,1544.95,2608.49,3878.29
"91","46_V1","approximant","l","Click on the ladder",576.06,1107.98,3097.89,0.0590554896247264,549.94,1144.62,3016.21,540.32,1023.6,3059.19
"92","46_V2","approximant","l","Click on the ladder",520.99,1002.47,3112.68,0.0737152857999521,577.45,1122.67,3051.96,422.4,882.97,3010.34
"93","47_V1","fricative","s","Click on the saxophone",1013.87,2643.05,3712.72,0.145608117037326,1021.94,2758.19,3596.44,800.69,1987.74,2638.05
"94","47_V2","fricative","s","Click on the saxophone",1161.44,3022.55,3717.4,0.113861290985242,1458.73,2893.83,4051.79,1107.24,2593.64,3512.26
"95","48_V1","approximant","r","Click on the radio",370.64,1199.6,1592.23,0.0851094497627279,381.03,1225.23,1552.37,404.72,1424.16,1749.77
"96","48_V2","approximant","r","Click on the radio",519.85,1423.83,1869.22,0.0616018140922007,536.56,1429.76,2275.62,476.68,1276.82,1689.99
"97","49_V1","approximant","l","Click on the lock",361.34,840.58,3346.96,0.105241687122338,366.22,842.64,3316.3,430.82,736.53,3218.83
"98","49_V2","approximant","l","Click on the lock",365.66,814.08,3049.48,0.0988152142766487,400.46,830.18,3025.21,384.78,801.01,3131.73
"99","50_V1","fricative","sh","Click on the shield",1890.53,2609.82,3269.97,0.140163345628306,1874.08,2663.3,3412.47,1979.95,2613.06,3510.33
"100","50_V2","fricative","sh","Click on the shield",1966.02,2549.65,3197.11,0.188870783716205,1811.16,2816.03,3753.59,1969.73,2646.34,3401.35
"101","51_V1","fricative","s","Click on the sled",1044.2,2564.89,3221.11,0.15,1177.15,2895.36,3725.03,1077.89,2709,3512.18
"102","51_V2","fricative","s","Click on the sled",1088.35,2575.19,3613.44,0.148930507452219,1006.08,2955.6,3759.14,1048.95,2597.83,3739.17
"103","52_V1","fricative","sh","Click on the shark",1877.22,2447.93,3297.97,0.161154927126444,1773.74,2622.4,3461.51,1541.53,2234.96,3266.03
"104","52_V2","fricative","sh","Click on the shark",1827.21,2495.51,2823.01,0.154538624489545,1825.57,2614.81,2942.77,1697.84,2320.01,3002.05
"105","53_V1","approximant","r","Click on the rocket",527.18,1262.05,1958.63,0.0479097171288377,531.41,1318.09,2267.62,503.34,1185.16,1734.4
"106","53_V2","approximant","r","Click on the rocket",475.81,1034.51,1313.15,0.115417992281485,452.02,1064.92,1363.32,591.91,1086.27,1604.58
"107","54_V1","fricative","s","Click on the skateboard",468.44,1390.85,2761.09,0.048267213507286,472.44,1373.23,2780.65,424.82,1344.16,2741
"108","54_V2","fricative","s","Click on the skateboard",1534.87,3167.9,4172.61,0.0781283880413833,1488.83,2982.64,4096.03,1604.07,2709.99,3792.82
"109","55_V1","fricative","s","Click on the stairs",456.65,1357.22,2868.48,0.0489601697831523,395.53,1337.92,2885.16,436.76,1314.01,2857.31
"110","55_V2","fricative","s","Click on the stairs",1158.73,2779.65,3914.57,0.108663134315274,1232.93,2926.11,3943.2,1050.24,2763.93,3758.37
"111","56_V1","fricative","sh","Click on the shirt",462.4,1485.91,2926.76,0.0385369614625217,467.71,1453.57,2941.91,429.61,1475.64,2963.01
"112","56_V2","fricative","sh","Click on the shirt",1564.29,2539.69,3198.32,0.188313544358727,894.12,2638.12,3670.33,1838.8,2230.13,3118.99
"113","57_V1","fricative","s","Click on the scarf",475.56,1347.27,2853.42,0.0427342467115636,283.07,1277.87,2851.94,456.26,1300.76,2869.52
"114","57_V2","fricative","s","Click on the scarf",1136.17,2819.57,3746.51,0.142895623137927,923.77,2743.72,3889.23,1419.07,3070.62,3681.48
"115","58_V1","fricative","s","Click on the sun",1091.23,2782.96,3892.6,0.129000515525293,1004.89,2375.36,3666.05,1125.68,2836.11,3980.15
"116","58_V2","fricative","s","Click on the sun",1024.44,2673.57,3725.57,0.13,876.86,2687.72,3828.45,1165,2774.19,3880.91
"117","59_V1","approximant","r","Click on the robot",493.99,1408.38,2175.18,0.0503496557742038,521.35,1444.65,2472.62,458.34,1316.22,1895.98
"118","59_V2","approximant","r","Click on the robot",374.64,877,1208.29,0.136397861150239,369.21,1120.98,3092.01,446.84,1297.31,1713.57
"119","60_V1","fricative","f","Click on the flower",549.11,1270.34,2765.14,0.0433777635884747,558.35,1288.32,2820.09,516.59,1260.46,2730.16
"120","60_V2","fricative","f","Click on the flower",1291.62,2527.88,3431.54,0.16,1343.85,2625.23,3666.69,1162.43,1916.25,3325.89
"121","61_V1","fricative","s","Click on the skunk",1292.31,2956.59,4075.12,0.12,1287.05,2819.56,3901.59,1615.57,2648.07,4014.03
"122","61_V2","fricative","s","Click on the skunk",515.22,1351.3,2792.71,0.0461812267670153,548.04,1385.79,2817.89,436.17,1374.55,2832.54
"123","62_V1","fricative","s","Click on the snail",1391.91,2882.06,4085.65,0.160279240686198,1369.61,2944.88,3940.08,995.52,2789.58,3950.27
"124","62_V2","fricative","s","Click on the snail",467.9,1395.68,2912.47,0.0549594579918851,462.03,1357.76,2916.64,428.49,1388.3,2918.34
"125","63_V1","fricative","s","Click on the salad",502.43,1341.35,2926.17,0.0485484299376266,496.47,1329.68,2933.14,492.95,1380.5,2927.83
"126","63_V2","fricative","s","Click on the salad",1497.62,2844.99,4098.74,0.117861014904438,1086.2,2870.02,3928.62,1250.36,2939.66,4112.51
"127","64_V1","approximant","l","Click on the letter",548.31,1124.33,3013.44,0.0433460609446929,545.34,1169.34,3008.65,529.42,1052.32,3023.81
"128","64_V2","approximant","l","Click on the letter",502.6,1081.93,3003.06,0.0680944982470781,531.44,1122.3,2943.7,440.77,989.91,3012.22
